,user,mode,game,iter,performance_mean,performance_std,frequency_overall,frequency_good_bad,timing_overall,timing_good,timing_bad,timing_good_indices,timing_bad_indices
43,Something,retrospective,mc,2,0.3865589016013676,0.031136166648304386,0.04,2.0,139.5,146.375,125.75,"267, 236, 203, 174, 134, 104, 47, 6","229, 165, 93, 16"
44,Something,retrospective,mc,3,0.385042287574874,0.030206702496659035,0.11666666666666667,0.029411764705882353,135.6,280.0,131.35294117647058,280,"262, 255, 248, 240, 231, 223, 216, 208, 200, 192, 184, 177, 168, 160, 152, 144, 136, 128, 119, 111, 103, 96, 88, 80, 71, 63, 55, 47, 38, 30, 22, 14, 6, -1"
45,TarotMaster,retrospective,snake,1,1.85,0.9526279441628825,0.23,0.7692307692307693,45.391304347826086,18.4,66.15384615384616,"29, 27, 25, 23, 21, 19, 13, 11, 9, 7","91, 81, 79, 77, 75, 73, 72, 62, 60, 58, 46, 44, 42"
46,TarotMaster,retrospective,snake,2,1.02,0.13999999999999999,0.41,inf,38.8780487804878,38.8780487804878,-1.0,"78, 74, 72, 71, 69, 67, 66, 63, 61, 60, 58, 56, 54, 52, 50, 48, 47, 45, 43, 41, 39, 37, 35, 34, 32, 30, 28, 26, 24, 22, 21, 19, 17, 15, 13, 12, 10, 4, 2, 0, -1",
47,TarotMaster,retrospective,snake,3,1.05,0.2598076211353317,0.32,1.9090909090909092,45.71875,28.095238095238095,79.36363636363636,"50, 48, 46, 44, 42, 41, 39, 37, 35, 33, 31, 29, 28, 17, 15, 14, 12, 10, 8, 6, 5","89, 87, 85, 83, 81, 79, 77, 76, 74, 72, 70"
48,TarotMaster,retrospective,ttt,1,-0.3,0.854400374531753,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
49,TarotMaster,retrospective,ttt,2,-0.13,0.9762684057163789,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
50,TarotMaster,retrospective,ttt,3,-0.06,0.9779570542718119,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
51,TarotMaster,retrospective,mc,1,0.4976683658030298,0.016759439305384746,0.07407407407407407,inf,91.55555555555556,91.55555555555556,-1.0,"190, 183, 176, 142, 131, 123, 115, 107, 100, 92, 84, 55, 47, 39, 31, 20, 12, 1",
52,TarotMaster,retrospective,mc,2,0.5220842655334207,0.03516307184884654,0.06666666666666667,0.0,74.5,-1.0,74.5,,"151, 144, 135, 128, 119, 112, 104, 95, 87, 78, 70, 62, 54, 46, 38, 29, 21, 13, 5, -1"
53,TarotMaster,retrospective,mc,3,0.5174174250000053,0.038058303429332134,0.06,0.0,63.333333333333336,-1.0,63.333333333333336,,"132, 124, 116, 108, 100, 92, 84, 75, 67, 59, 51, 43, 34, 26, 18, 10, 2, -1"
54,Thistle,retrospective,snake,1,1.3,0.5567764362830021,0.09,0.2857142857142857,43.333333333333336,44.5,43.0,"90, -1","79, 65, 54, 42, 31, 21, 9"
55,Thistle,retrospective,snake,2,1.02,0.13999999999999999,0.12,0.09090909090909091,49.333333333333336,92.0,45.45454545454545,92,"85, 78, 70, 62, 54, 46, 37, 30, 21, 13, 4"
56,Thistle,retrospective,snake,3,1.04,0.19595917942265428,0.12,0.0,44.0,-1.0,44.0,,"91, 83, 74, 66, 57, 48, 38, 30, 22, 14, 6, -1"
57,Thistle,retrospective,ttt,1,-0.74,0.5936328831862332,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
58,Thistle,retrospective,ttt,2,-0.29,0.8751571287488893,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
59,Thistle,retrospective,ttt,3,0.05,0.9733961166965893,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
60,Thistle,retrospective,mc,1,0.5195089576972856,0.035548494496128125,0.02666666666666667,1.0,127.375,144.0,110.75,"246, 189, 107, 34","228, 146, 70, -1"
61,Thistle,retrospective,mc,2,0.5201785840921932,0.034313096919273395,0.02666666666666667,1.0,125.75,144.5,107.0,"263, 183, 102, 30","219, 142, 68, -1"
62,Thistle,retrospective,mc,3,0.5159827600750658,0.03576159127993669,0.02666666666666667,1.0,126.875,144.75,109.0,"261, 180, 106, 32","227, 143, 67, -1"
63,Tomato,retrospective,snake,1,1.01,0.09949874371066199,0.03,inf,41.333333333333336,41.333333333333336,-1.0,"64, 34, 26",
64,Tomato,retrospective,snake,2,1.68,0.6144916598294887,0.1,0.6666666666666666,35.4,64.25,16.166666666666668,"82, 69, 58, 48","34, 27, 20, 12, 5, -1"
65,Tomato,retrospective,snake,3,1.05,0.2598076211353317,0.09,0.0,45.0,-1.0,45.0,,"90, 78, 66, 55, 44, 34, 24, 15, -1"
66,Tomato,retrospective,ttt,1,-0.16,0.9666436778875658,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
67,Tomato,retrospective,ttt,2,-0.68,0.6910861017268399,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
68,Tomato,retrospective,ttt,3,-0.43,0.8397023282092292,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
